Name;h;b;t;A;cty;ctz;Iy;Iz;iy;iz;Wy.el;Wz.el;Wy.pl;Wz.pl;It;WT;As
RHS 120x80x4;0.12;0.08;0.004;0.00152;27;1.700E+01;3.030E-06;1.610E-06;4.460E-02;3.250E-02;5.040E-05;4.020E-05;6.120E-05;4.610E-05;3.300E-06;6.500E-05;3.900E-01
RHS 120x80x5;0.12;0.08;0.005;0.00187;21;1.300E+01;3.650E-06;1.930E-06;4.420E-02;3.210E-02;6.090E-05;4.820E-05;7.460E-05;5.610E-05;4.010E-06;7.790E-05;3.870E-01
RHS 120x80x6.3;0.12;0.08;0.0063;0.00232;16;9.700E+00;4.400E-06;2.300E-06;4.360E-02;3.150E-02;7.330E-05;5.760E-05;9.100E-05;6.820E-05;4.870E-06;9.290E-05;3.840E-01
RHS 120x80x8;0.12;0.08;0.008;0.00288;12;7.000E+00;5.250E-06;2.730E-06;4.270E-02;3.080E-02;8.750E-05;6.810E-05;1.110E-04;8.260E-05;5.870E-06;1.100E-04;3.790E-01
RHS 120x80x10;0.12;0.08;0.01;0.00349;9;5.000E+00;6.090E-06;3.130E-06;4.180E-02;2.990E-02;1.020E-04;7.810E-05;1.310E-04;9.730E-05;6.880E-06;1.260E-04;3.740E-01
RHS 150x100x4;0.15;0.1;0.004;0.00192;34.5;2.200E+01;6.070E-06;3.240E-06;5.630E-02;4.110E-02;8.100E-05;6.480E-05;9.740E-05;7.360E-05;6.600E-06;1.050E-04;4.900E-01
RHS 150x100x5;0.15;0.1;0.005;0.00237;27;1.700E+01;7.390E-06;3.920E-06;5.580E-02;4.070E-02;9.850E-05;7.850E-05;1.190E-04;9.010E-05;8.070E-06;1.270E-04;4.870E-01
RHS 150x100x6.3;0.15;0.1;0.0063;0.00295;20.8;1.290E+01;8.980E-06;4.740E-06;5.520E-02;4.010E-02;1.200E-04;9.480E-05;1.470E-04;1.100E-04;9.860E-06;1.530E-04;4.840E-01
RHS 150x100x8;0.15;0.1;0.008;0.00368;15.8;9.500E+00;1.090E-05;5.690E-06;5.440E-02;3.940E-02;1.450E-04;1.140E-04;1.800E-04;1.350E-04;1.200E-05;1.830E-04;4.790E-01
RHS 150x100x10;0.15;0.1;0.01;0.00449;12;7.000E+00;1.280E-05;6.650E-06;5.340E-02;3.850E-02;1.710E-04;1.330E-04;2.160E-04;1.610E-04;1.430E-05;2.140E-04;4.740E-01
RHS 150x100x12.5;0.15;0.1;0.0125;0.00546;9;5.000E+00;1.490E-05;7.630E-06;5.220E-02;3.740E-02;1.980E-04;1.530E-04;2.560E-04;1.900E-04;1.680E-05;2.460E-04;4.680E-01
RHS 160x80x4;0.16;0.08;0.004;0.00184;37;1.700E+01;6.120E-06;2.070E-06;5.770E-02;3.350E-02;7.650E-05;5.170E-05;9.470E-05;5.830E-05;4.930E-06;8.810E-05;4.700E-01
RHS 160x80x5;0.16;0.08;0.005;0.00227;29;1.300E+01;7.440E-06;2.490E-06;5.720E-02;3.310E-02;9.300E-05;6.230E-05;1.160E-04;7.110E-05;6.000E-06;1.060E-04;4.670E-01
RHS 160x80x6.3;0.16;0.08;0.0063;0.00282;22.4;9.700E+00;9.030E-06;2.990E-06;5.660E-02;3.260E-02;1.130E-04;7.480E-05;1.420E-04;8.680E-05;7.300E-06;1.270E-04;4.640E-01
RHS 160x80x8;0.16;0.08;0.008;0.00352;17;7.000E+00;1.090E-05;3.560E-06;5.570E-02;3.180E-02;1.360E-04;8.900E-05;1.750E-04;1.060E-04;8.830E-06;1.510E-04;4.590E-01
RHS 160x80x10;0.16;0.08;0.01;0.00429;13;5.000E+00;1.280E-05;4.110E-06;5.470E-02;3.100E-02;1.610E-04;1.030E-04;2.090E-04;1.250E-04;1.040E-05;1.750E-04;4.540E-01
