Name;h;b;t;A;cty;ctz;Iy;Iz;iy;iz;Wy.el;Wz.el;Wy.pl;Wz.pl;It;WT;As
RHS 400x200x12.5;0.4;0.2;0.0125;0.0142;29;1.300E+01;2.910E-04;9.740E-05;1.430E-01;8.280E-02;1.450E-03;9.740E-04;1.810E-03;1.110E-03;2.340E-04;1.660E-03;1.170E+00
RHS 400x200x14.2;0.4;0.2;0.0142;0.016;25.2;1.110E+01;3.240E-04;1.080E-04;1.420E-01;8.210E-02;1.620E-03;1.080E-03;2.030E-03;1.240E-03;2.610E-04;1.830E-03;1.160E+00
RHS 400x200x16;0.4;0.2;0.016;0.0179;22;9.500E+00;3.570E-04;1.180E-04;1.410E-01;8.130E-02;1.790E-03;1.180E-03;2.260E-03;1.370E-03;2.890E-04;2.010E-03;1.160E+00
RHS 400x200x17.5;0.4;0.2;0.0175;0.0194;19.9;8.430E+00;3.840E-04;1.260E-04;1.410E-01;8.060E-02;1.920E-03;1.260E-03;2.440E-03;1.480E-03;3.110E-04;2.150E-03;1.150E+00
RHS 400x300x8;0.4;0.3;0.008;0.0109;47;3.450E+01;2.570E-04;1.650E-04;1.540E-01;1.230E-01;1.280E-03;1.100E-03;1.520E-03;1.250E-03;3.100E-04;1.750E-03;1.380E+00
RHS 400x300x10;0.4;0.3;0.01;0.0135;37;2.700E+01;3.150E-04;2.020E-04;1.530E-01;1.220E-01;1.580E-03;1.350E-03;1.870E-03;1.540E-03;3.820E-04;2.140E-03;1.370E+00
RHS 400x300x12.5;0.4;0.3;0.0125;0.0167;29;2.100E+01;3.850E-04;2.460E-04;1.520E-01;1.210E-01;1.920E-03;1.640E-03;2.300E-03;1.880E-03;4.680E-04;2.590E-03;1.370E+00
RHS 400x300x14.2;0.4;0.3;0.0142;0.0189;25.2;1.810E+01;4.300E-04;2.740E-04;1.510E-01;1.210E-01;2.150E-03;1.830E-03;2.580E-03;2.110E-03;5.250E-04;2.890E-03;1.360E+00
RHS 400x300x16;0.4;0.3;0.016;0.0211;22;1.580E+01;4.750E-04;3.030E-04;1.500E-01;1.200E-01;2.380E-03;2.020E-03;2.870E-03;2.350E-03;5.830E-04;3.180E-03;1.360E+00
RHS 400x300x17.5;0.4;0.3;0.0175;0.0229;19.9;1.410E+01;5.120E-04;3.260E-04;1.490E-01;1.190E-01;2.560E-03;2.170E-03;3.110E-03;2.540E-03;6.300E-04;3.420E-03;1.350E+00
RHS 450x250x8;0.45;0.25;0.008;0.0109;53.3;2.830E+01;3.010E-04;1.210E-04;1.660E-01;1.060E-01;1.340E-03;9.710E-04;1.620E-03;1.080E-03;2.710E-04;1.630E-03;1.380E+00
RHS 450x250x10;0.45;0.25;0.01;0.0135;42;2.200E+01;3.690E-04;1.480E-04;1.650E-01;1.050E-01;1.640E-03;1.180E-03;2.000E-03;1.330E-03;3.330E-04;1.990E-03;1.370E+00
RHS 450x250x12.5;0.45;0.25;0.0125;0.0167;33;1.700E+01;4.500E-04;1.800E-04;1.640E-01;1.040E-01;2.000E-03;1.440E-03;2.460E-03;1.630E-03;4.070E-04;2.410E-03;1.370E+00
RHS 450x250x14.2;0.45;0.25;0.0142;0.0189;28.7;1.460E+01;5.030E-04;2.000E-04;1.630E-01;1.030E-01;2.240E-03;1.600E-03;2.760E-03;1.830E-03;4.560E-04;2.680E-03;1.360E+00
RHS 450x250x16;0.45;0.25;0.016;0.0211;25.1;1.260E+01;5.570E-04;2.200E-04;1.620E-01;1.020E-01;2.480E-03;1.760E-03;3.070E-03;2.030E-03;5.050E-04;2.950E-03;1.360E+00
RHS 450x250x17.5;0.45;0.25;0.0175;0.0229;22.7;1.130E+01;6.000E-04;2.370E-04;1.620E-01;1.020E-01;2.670E-03;1.890E-03;3.320E-03;2.190E-03;5.460E-04;3.160E-03;1.350E+00
RHS 500x200x8;0.5;0.2;0.008;0.0109;59.5;2.200E+01;3.400E-04;8.140E-05;1.770E-01;8.650E-02;1.360E-03;8.140E-04;1.710E-03;8.960E-04;2.110E-04;1.430E-03;1.380E+00
RHS 500x200x10;0.5;0.2;0.01;0.0135;47;1.700E+01;4.180E-04;9.890E-05;1.760E-01;8.560E-02;1.670E-03;9.890E-04;2.100E-03;1.100E-03;2.590E-04;1.740E-03;1.370E+00
RHS 500x200x12.5;0.5;0.2;0.0125;0.0167;37;1.300E+01;5.100E-04;1.190E-04;1.750E-01;8.450E-02;2.040E-03;1.190E-03;2.590E-03;1.350E-03;3.150E-04;2.100E-03;1.370E+00
RHS 500x200x14.2;0.5;0.2;0.0142;0.0189;32.2;1.110E+01;5.690E-04;1.320E-04;1.740E-01;8.380E-02;2.280E-03;1.320E-03;2.900E-03;1.500E-03;3.520E-04;2.320E-03;1.360E+00
RHS 500x200x16;0.5;0.2;0.016;0.0211;28.3;9.500E+00;6.300E-04;1.450E-04;1.730E-01;8.300E-02;2.520E-03;1.450E-03;3.230E-03;1.670E-03;3.890E-04;2.550E-03;1.360E+00
RHS 500x200x17.5;0.5;0.2;0.0175;0.0229;25.6;8.430E+00;6.790E-04;1.560E-04;1.720E-01;8.240E-02;2.720E-03;1.560E-03;3.500E-03;1.800E-03;4.180E-04;2.730E-03;1.350E+00
RHS 500x300x8;0.5;0.3;0.008;0.0125;59.5;3.450E+01;4.370E-04;2.000E-04;1.870E-01;1.260E-01;1.750E-03;1.330E-03;2.100E-03;1.480E-03;4.260E-04;2.200E-03;1.580E+00
RHS 500x300x10;0.5;0.3;0.01;0.0155;47;2.700E+01;5.380E-04;2.440E-04;1.860E-01;1.260E-01;2.150E-03;1.630E-03;2.600E-03;1.830E-03;5.240E-04;2.700E-03;1.570E+00
RHS 500x300x12.5;0.5;0.3;0.0125;0.0192;37;2.100E+01;6.580E-04;2.980E-04;1.850E-01;1.250E-01;2.630E-03;1.980E-03;3.200E-03;2.240E-03;6.440E-04;3.280E-03;1.570E+00
RHS 500x300x14.2;0.5;0.3;0.0142;0.0217;32.2;1.810E+01;7.370E-04;3.320E-04;1.840E-01;1.240E-01;2.950E-03;2.220E-03;3.590E-03;2.520E-03;7.220E-04;3.660E-03;1.560E+00
RHS 500x300x16;0.5;0.3;0.016;0.0243;28.3;1.580E+01;8.180E-04;3.680E-04;1.830E-01;1.230E-01;3.270E-03;2.450E-03;4.000E-03;2.800E-03;8.030E-04;4.040E-03;1.560E+00
RHS 500x300x17.5;0.5;0.3;0.0175;0.0264;25.6;1.410E+01;8.830E-04;3.960E-04;1.830E-01;1.220E-01;3.530E-03;2.640E-03;4.340E-03;3.040E-03;8.690E-04;4.350E-03;1.550E+00
