Name;h;b;t;A;ct;I;i;Wel;Wpl;It;WT;As
SHS 100x6.3;0.1;0.1;0.0063;0.00232;12.9;3.360E-06;3.800E-02;6.710E-05;8.090E-05;5.340E-06;9.780E-05;3.840E-01
SHS 100x8;0.1;0.1;0.008;0.00288;9.5;4.000E-06;3.730E-02;7.990E-05;9.820E-05;6.460E-06;1.160E-04;3.790E-01
SHS 100x10;0.1;0.1;0.01;0.00349;7;4.620E-06;3.640E-02;9.240E-05;1.160E-04;7.610E-06;1.330E-04;3.740E-01
SHS 120x4;0.12;0.12;0.004;0.00184;27;4.100E-06;4.720E-02;6.840E-05;7.970E-05;6.350E-06;1.010E-04;4.700E-01
SHS 120x5;0.12;0.12;0.005;0.00227;21;4.980E-06;4.680E-02;8.300E-05;9.760E-05;7.770E-06;1.220E-04;4.670E-01
SHS 120x6.3;0.12;0.12;0.0063;0.00282;16;6.030E-06;4.620E-02;1.000E-04;1.200E-04;9.500E-06;1.470E-04;4.640E-01
SHS 120x8;0.12;0.12;0.008;0.00352;12;7.260E-06;4.550E-02;1.210E-04;1.460E-04;1.160E-05;1.760E-04;4.590E-01
SHS 120x10;0.12;0.12;0.01;0.00429;9;8.520E-06;4.460E-02;1.420E-04;1.750E-04;1.380E-05;2.060E-04;4.540E-01
SHS 120x12.5;0.12;0.12;0.0125;0.00521;6.6;9.820E-06;4.340E-02;1.640E-04;2.070E-04;1.620E-05;2.360E-04;4.480E-01
SHS 140x5;0.14;0.14;0.005;0.00267;25;8.070E-06;5.500E-02;1.150E-04;1.350E-04;1.250E-05;1.700E-04;5.470E-01
SHS 140x6.3;0.14;0.14;0.0063;0.00333;19.2;9.840E-06;5.440E-02;1.410E-04;1.660E-04;1.540E-05;2.060E-04;5.440E-01
SHS 140x8;0.14;0.14;0.008;0.00416;14.5;1.200E-05;5.360E-02;1.710E-04;2.040E-04;1.890E-05;2.490E-04;5.390E-01
SHS 140x10;0.14;0.14;0.01;0.00509;11;1.420E-05;5.270E-02;2.020E-04;2.460E-04;2.270E-05;2.940E-04;5.340E-01
SHS 140x12.5;0.14;0.14;0.0125;0.00621;8.2;1.650E-05;5.160E-02;2.360E-04;2.930E-04;2.700E-05;3.420E-04;5.280E-01
SHS 140x14.2;0.14;0.14;0.0142;0.00693;6.86;1.790E-05;5.080E-02;2.560E-04;3.220E-04;2.950E-05;3.690E-04;5.230E-01
SHS 140x16;0.14;0.14;0.016;0.00766;5.75;1.920E-05;5.000E-02;2.740E-04;3.500E-04;3.200E-05;3.940E-04;5.190E-01
SHS 150x4;0.15;0.15;0.004;0.00232;34.5;8.210E-06;5.950E-02;1.090E-04;1.270E-04;1.260E-05;1.620E-04;5.900E-01
SHS 150x5;0.15;0.15;0.005;0.00287;27;1.000E-05;5.900E-02;1.340E-04;1.560E-04;1.550E-05;1.970E-04;5.870E-01
SHS 150x6.3;0.15;0.15;0.0063;0.00358;20.8;1.220E-05;5.850E-02;1.630E-04;1.920E-04;1.910E-05;2.400E-04;5.840E-01
SHS 150x8;0.15;0.15;0.008;0.00448;15.8;1.490E-05;5.770E-02;1.990E-04;2.370E-04;2.350E-05;2.910E-04;5.790E-01
SHS 150x10;0.15;0.15;0.01;0.00549;12;1.770E-05;5.680E-02;2.360E-04;2.860E-04;2.830E-05;3.440E-04;5.740E-01
SHS 150x12.5;0.15;0.15;0.0125;0.00671;9;2.080E-05;5.570E-02;2.770E-04;3.420E-04;3.380E-05;4.020E-04;5.680E-01
SHS 150x14.2;0.15;0.15;0.0142;0.0075;7.56;2.260E-05;5.490E-02;3.020E-04;3.770E-04;3.710E-05;4.360E-04;5.630E-01
SHS 150x16;0.15;0.15;0.016;0.0083;6.38;2.430E-05;5.410E-02;3.240E-04;4.110E-04;4.030E-05;4.670E-04;5.590E-01
SHS 160x5;0.16;0.16;0.005;0.00307;29;1.220E-05;6.310E-02;1.530E-04;1.780E-04;1.890E-05;2.260E-04;6.270E-01
SHS 160x6.3;0.16;0.16;0.0063;0.00383;22.4;1.500E-05;6.260E-02;1.870E-04;2.200E-04;2.330E-05;2.750E-04;6.240E-01
SHS 160x8;0.16;0.16;0.008;0.0048;17;1.830E-05;6.180E-02;2.290E-04;2.720E-04;2.880E-05;3.350E-04;6.190E-01
SHS 160x10;0.16;0.16;0.01;0.00589;13;2.190E-05;6.090E-02;2.730E-04;3.290E-04;3.480E-05;3.980E-04;6.140E-01
SHS 160x12.5;0.16;0.16;0.0125;0.00721;9.8;2.580E-05;5.980E-02;3.220E-04;3.950E-04;4.160E-05;4.670E-04;6.080E-01
SHS 160x14.2;0.16;0.16;0.0142;0.00807;8.27;2.810E-05;5.900E-02;3.510E-04;4.360E-04;4.580E-05;5.080E-04;6.030E-01
SHS 160x16;0.16;0.16;0.016;0.00894;7;3.030E-05;5.820E-02;3.790E-04;4.760E-04;4.990E-05;5.460E-04;5.990E-01
SHS 180x6.3;0.18;0.18;0.0063;0.00433;25.6;2.170E-05;7.070E-02;2.410E-04;2.810E-04;3.360E-05;3.550E-04;7.040E-01
SHS 180x8;0.18;0.18;0.008;0.00544;19.5;2.660E-05;7.000E-02;2.960E-04;3.490E-04;4.160E-05;4.340E-04;6.990E-01
