Name;h;w;t;A;cy;cz;cu;cv;Iy;Iz;Wy;Wz;Iu;Iv
125x75x8;0.125;0.075;0.008;1.55E-03;4.14E-02;1.68E-02;8.44E-02;4.14E-02;2.47E-06;6.76E-07;2.96E-05;1.16E-05;2.74E-06;4.09E-07
125x75x10;0.125;0.075;0.01;1.91E-03;4.23E-02;1.76E-02;8.39E-02;4.17E-02;3.02E-06;8.21E-07;3.65E-05;1.43E-05;3.34E-06;4.99E-07
125x75x12;0.125;0.075;0.012;2.27E-03;4.31E-02;1.84E-02;8.33E-02;4.15E-02;3.54E-06;9.55E-07;4.32E-05;1.69E-05;3.91E-06;5.85E-07
130x90x10;0.13;0.09;0.01;2.12E-03;4.16E-02;2.19E-02;8.93E-02;4.62E-02;3.60E-06;1.42E-06;4.07E-05;2.08E-05;4.22E-06;7.99E-07
130x90x12;0.13;0.09;0.012;2.51E-03;4.24E-02;2.26E-02;8.90E-02;4.59E-02;4.20E-06;1.65E-06;4.80E-05;2.44E-05;4.92E-06;9.33E-07
130x90x14;0.13;0.09;0.014;2.90E-03;4.33E-02;2.34E-02;8.85E-02;4.61E-02;4.81E-06;1.88E-06;5.55E-05;2.82E-05;5.62E-06;1.07E-06
135x65x8;0.135;0.065;0.008;1.55E-03;4.78E-02;1.34E-02;8.79E-02;3.95E-02;2.91E-06;4.52E-07;3.34E-05;8.75E-06;3.07E-06;2.94E-07
135x65x10;0.135;0.065;0.01;1.91E-03;4.88E-02;1.42E-02;8.72E-02;3.91E-02;3.56E-06;5.47E-07;4.13E-05;1.08E-05;3.75E-06;3.59E-07
140x90x8;0.14;0.09;0.008;1.79E-03;4.49E-02;2.03E-02;9.56E-02;4.83E-02;3.60E-06;1.18E-06;3.79E-05;1.70E-05;4.09E-06;6.89E-07
140x90x10;0.14;0.09;0.01;2.21E-03;4.58E-02;2.11E-02;9.52E-02;4.81E-02;4.41E-06;1.44E-06;4.68E-05;2.09E-05;5.01E-06;8.42E-07
140x90x12;0.14;0.09;0.012;2.63E-03;4.66E-02;2.19E-02;9.47E-02;4.79E-02;5.18E-06;1.68E-06;5.55E-05;2.47E-05;5.88E-06;9.89E-07
140x90x14;0.14;0.09;0.014;3.04E-03;4.74E-02;2.27E-02;9.43E-02;4.78E-02;5.92E-06;1.91E-06;6.40E-05;2.84E-05;6.70E-06;1.13E-06
150x75x9;0.15;0.075;0.009;1.96E-03;5.26E-02;1.57E-02;9.82E-02;4.50E-02;4.55E-06;7.79E-07;4.67E-05;1.31E-05;4.83E-06;5.02E-07
150x75x10;0.15;0.075;0.01;2.17E-03;5.31E-02;1.61E-02;9.79E-02;4.48E-02;5.01E-06;8.56E-07;5.16E-05;1.45E-05;5.31E-06;5.51E-07
150x75x12;0.15;0.075;0.012;2.57E-03;5.40E-02;1.69E-02;9.72E-02;4.44E-02;5.88E-06;9.96E-07;6.13E-05;1.71E-05;6.23E-06;6.47E-07
150x75x15;0.15;0.075;0.015;3.17E-03;5.52E-02;1.81E-02;9.63E-02;4.40E-02;7.13E-06;1.19E-06;7.52E-05;2.10E-05;7.53E-06;7.86E-07
150x90x10;0.15;0.09;0.01;2.32E-03;5.00E-02;2.04E-02;1.01E-01;5.03E-02;5.33E-06;1.46E-06;5.33E-05;2.10E-05;5.91E-06;8.83E-07
150x90x11;0.15;0.09;0.011;2.53E-03;5.04E-02;2.08E-02;1.01E-01;4.95E-02;5.81E-06;1.59E-06;5.83E-05;2.29E-05;6.44E-06;9.57E-07
150x90x12;0.15;0.09;0.012;2.75E-03;5.08E-02;2.12E-02;1.01E-01;5.00E-02;6.27E-06;1.71E-06;6.33E-05;2.48E-05;6.94E-06;1.04E-06
150x90x15;0.15;0.09;0.015;3.39E-03;5.21E-02;2.23E-02;9.98E-02;4.98E-02;7.61E-06;2.05E-06;7.77E-05;3.04E-05;8.41E-06;1.26E-06
