Name;h;w;t;A;cy;cz;cu;cv;Iy;Iz;Wy;Wz;Iu;Iv
90x90x8;0.09;0.09;0.008;1.39E-03;2.50E-02;2.50E-02;6.36E-02;3.53E-02;1.04E-06;1.04E-06;1.61E-05;1.61E-05;1.66E-06;4.31E-07
90x90x9;0.09;0.09;0.009;1.55E-03;2.54E-02;2.54E-02;6.36E-02;3.59E-02;1.16E-06;1.16E-06;1.79E-05;1.79E-05;1.84E-06;4.79E-07
90x90x10;0.09;0.09;0.01;1.71E-03;2.58E-02;2.58E-02;6.36E-02;3.65E-02;1.27E-06;1.27E-06;1.98E-05;1.98E-05;2.01E-06;5.26E-07
90x90x11;0.09;0.09;0.011;1.87E-03;2.62E-02;2.62E-02;6.36E-02;3.70E-02;1.38E-06;1.38E-06;2.16E-05;2.16E-05;2.18E-06;5.69E-07
90x90x16;0.09;0.09;0.016;2.64E-03;2.81E-02;2.81E-02;6.36E-02;3.97E-02;1.86E-06;1.86E-06;3.01E-05;3.01E-05;2.94E-06;7.94E-07
100x100x6;0.1;0.1;0.006;1.18E-03;2.64E-02;2.64E-02;7.07E-02;3.74E-02;1.11E-06;1.11E-06;1.51E-05;1.51E-05;1.76E-06;4.58E-07
100x100x7;0.1;0.1;0.007;1.37E-03;2.69E-02;2.69E-02;7.07E-02;3.81E-02;1.28E-06;1.28E-06;1.75E-05;1.75E-05;2.04E-06;5.27E-07
100x100x8;0.1;0.1;0.008;1.55E-03;2.74E-02;2.74E-02;7.07E-02;3.87E-02;1.45E-06;1.45E-06;1.99E-05;1.99E-05;2.30E-06;5.99E-07
100x100x9;0.1;0.1;0.009;1.73E-03;2.78E-02;2.78E-02;7.07E-02;3.93E-02;1.61E-06;1.61E-06;2.23E-05;2.23E-05;2.56E-06;6.61E-07
100x100x10;0.1;0.1;0.01;1.92E-03;2.82E-02;2.82E-02;7.07E-02;3.99E-02;1.77E-06;1.77E-06;2.46E-05;2.46E-05;2.80E-06;7.30E-07
100x100x11;0.1;0.1;0.011;2.09E-03;2.86E-02;2.86E-02;7.07E-02;4.05E-02;1.92E-06;1.92E-06;2.69E-05;2.69E-05;3.05E-06;7.91E-07
100x100x12;0.1;0.1;0.012;2.27E-03;2.90E-02;2.90E-02;7.07E-02;4.11E-02;2.07E-06;2.07E-06;2.91E-05;2.91E-05;3.28E-06;8.57E-07
100x100x13;0.1;0.1;0.013;2.45E-03;2.94E-02;2.94E-02;7.07E-02;4.16E-02;2.21E-06;2.21E-06;3.13E-05;3.13E-05;3.50E-06;9.17E-07
100x100x14;0.1;0.1;0.014;2.62E-03;2.98E-02;2.98E-02;7.07E-02;4.22E-02;2.35E-06;2.35E-06;3.35E-05;3.35E-05;3.72E-06;9.79E-07
100x100x15;0.1;0.1;0.015;2.79E-03;3.02E-02;3.02E-02;7.07E-02;4.27E-02;2.49E-06;2.49E-06;3.56E-05;3.56E-05;3.93E-06;1.04E-06
100x100x16;0.1;0.1;0.016;2.96E-03;3.06E-02;3.06E-02;7.07E-02;4.32E-02;2.62E-06;2.62E-06;3.77E-05;3.77E-05;4.13E-06;1.10E-06
110x110x6;0.11;0.11;0.006;1.30E-03;2.89E-02;2.89E-02;7.78E-02;4.09E-02;1.50E-06;1.50E-06;1.84E-05;1.84E-05;2.37E-06;6.16E-07
110x110x7;0.11;0.11;0.007;1.51E-03;2.94E-02;2.94E-02;7.78E-02;4.16E-02;1.73E-06;1.73E-06;2.14E-05;2.14E-05;2.74E-06;7.09E-07
110x110x8;0.11;0.11;0.008;1.71E-03;2.99E-02;2.99E-02;7.78E-02;4.22E-02;1.95E-06;1.95E-06;2.44E-05;2.44E-05;3.11E-06;8.01E-07
110x110x9;0.11;0.11;0.009;1.91E-03;3.03E-02;3.03E-02;7.78E-02;4.28E-02;2.17E-06;2.17E-06;2.73E-05;2.73E-05;3.46E-06;8.91E-07
110x110x10;0.11;0.11;0.01;2.12E-03;3.06E-02;3.06E-02;7.78E-02;4.33E-02;2.38E-06;2.38E-06;3.00E-05;3.00E-05;3.78E-06;9.77E-07
110x110x11;0.11;0.11;0.011;2.32E-03;3.11E-02;3.11E-02;7.78E-02;4.39E-02;2.59E-06;2.59E-06;3.28E-05;3.28E-05;4.11E-06;1.06E-06
110x110x12;0.11;0.11;0.012;2.51E-03;3.15E-02;3.15E-02;7.78E-02;4.45E-02;2.79E-06;2.79E-06;3.55E-05;3.55E-05;4.43E-06;1.15E-06
120x120x7;0.12;0.12;0.007;1.65E-03;3.18E-02;3.18E-02;8.49E-02;4.49E-02;2.26E-06;2.26E-06;2.56E-05;2.56E-05;3.58E-06;9.28E-07
120x120x8;0.12;0.12;0.008;1.87E-03;3.23E-02;3.23E-02;8.49E-02;4.56E-02;2.55E-06;2.55E-06;2.91E-05;2.91E-05;4.06E-06;1.05E-06
120x120x9;0.12;0.12;0.009;2.10E-03;3.27E-02;3.27E-02;8.49E-02;4.62E-02;2.85E-06;2.85E-06;3.26E-05;3.26E-05;4.52E-06;1.17E-06
120x120x10;0.12;0.12;0.01;2.32E-03;3.31E-02;3.31E-02;8.49E-02;4.69E-02;3.13E-06;3.13E-06;3.60E-05;3.60E-05;4.97E-06;1.29E-06
120x120x11;0.12;0.12;0.011;2.54E-03;3.36E-02;3.36E-02;8.49E-02;4.75E-02;3.41E-06;3.41E-06;3.94E-05;3.94E-05;5.42E-06;1.40E-06
120x120x12;0.12;0.12;0.012;2.75E-03;3.40E-02;3.40E-02;8.49E-02;4.80E-02;3.68E-06;3.68E-06;4.27E-05;4.27E-05;5.84E-06;1.52E-06
120x120x13;0.12;0.12;0.013;2.97E-03;3.44E-02;3.44E-02;8.49E-02;4.86E-02;3.94E-06;3.94E-06;4.60E-05;4.60E-05;6.26E-06;1.62E-06
120x120x14;0.12;0.12;0.014;3.18E-03;3.48E-02;3.48E-02;8.49E-02;4.92E-02;4.20E-06;4.20E-06;4.93E-05;4.93E-05;6.66E-06;1.73E-06
120x120x15;0.12;0.12;0.015;3.39E-03;3.51E-02;3.51E-02;8.49E-02;4.97E-02;4.45E-06;4.45E-06;5.24E-05;5.24E-05;7.06E-06;1.84E-06
120x120x16;0.12;0.12;0.016;3.60E-03;3.55E-02;3.55E-02;8.49E-02;5.02E-02;4.69E-06;4.69E-06;5.56E-05;5.56E-05;7.44E-06;1.95E-06
130x130x8;0.13;0.13;0.008;2.04E-03;3.46E-02;3.46E-02;9.19E-02;4.90E-02;3.27E-06;3.27E-06;3.43E-05;3.43E-05;5.19E-06;1.34E-06
130x130x9;0.13;0.13;0.009;2.28E-03;3.51E-02;3.51E-02;9.19E-02;4.96E-02;3.64E-06;3.64E-06;3.84E-05;3.84E-05;5.79E-06;1.50E-06
130x130x10;0.13;0.13;0.01;2.52E-03;3.55E-02;3.55E-02;9.19E-02;5.03E-02;4.01E-06;4.01E-06;4.25E-05;4.25E-05;6.38E-06;1.65E-06
130x130x11;0.13;0.13;0.011;2.76E-03;3.60E-02;3.60E-02;9.19E-02;5.09E-02;4.37E-06;4.37E-06;4.65E-05;4.65E-05;6.95E-06;1.79E-06
130x130x12;0.13;0.13;0.012;3.00E-03;3.64E-02;3.64E-02;9.19E-02;5.15E-02;4.72E-06;4.72E-06;5.04E-05;5.04E-05;7.50E-06;1.94E-06
130x130x13;0.13;0.13;0.013;3.23E-03;3.68E-02;3.68E-02;9.19E-02;5.20E-02;5.07E-06;5.07E-06;5.44E-05;5.44E-05;8.05E-06;2.08E-06
130x130x14;0.13;0.13;0.014;3.47E-03;3.72E-02;3.72E-02;9.19E-02;5.26E-02;5.40E-06;5.40E-06;5.82E-05;5.82E-05;8.58E-06;2.22E-06
130x130x15;0.13;0.13;0.015;3.70E-03;3.76E-02;3.76E-02;9.19E-02;5.32E-02;5.73E-06;5.73E-06;6.20E-05;6.20E-05;9.09E-06;2.36E-06
130x130x16;0.13;0.13;0.016;3.93E-03;3.80E-02;3.80E-02;9.19E-02;5.37E-02;6.05E-06;6.05E-06;6.58E-05;6.58E-05;9.60E-06;2.50E-06
140x140x9;0.14;0.14;0.009;2.46E-03;3.75E-02;3.75E-02;9.90E-02;5.30E-02;4.58E-06;4.58E-06;4.47E-05;4.47E-05;7.28E-06;1.88E-06
140x140x10;0.14;0.14;0.01;2.72E-03;3.79E-02;3.79E-02;9.90E-02;5.37E-02;5.04E-06;5.04E-06;4.94E-05;4.94E-05;8.02E-06;2.07E-06
140x140x11;0.14;0.14;0.011;2.98E-03;3.84E-02;3.84E-02;9.90E-02;5.43E-02;5.50E-06;5.50E-06;5.41E-05;5.41E-05;8.75E-06;2.26E-06
140x140x12;0.14;0.14;0.012;3.24E-03;3.88E-02;3.88E-02;9.90E-02;5.49E-02;5.95E-06;5.95E-06;5.88E-05;5.88E-05;9.46E-06;2.44E-06
140x140x13;0.14;0.14;0.013;3.50E-03;3.92E-02;3.92E-02;9.90E-02;5.55E-02;6.39E-06;6.39E-06;6.34E-05;6.34E-05;1.02E-05;2.62E-06
140x140x14;0.14;0.14;0.014;3.75E-03;3.96E-02;3.96E-02;9.90E-02;5.61E-02;6.81E-06;6.81E-06;6.79E-05;6.79E-05;1.08E-05;2.80E-06
140x140x15;0.14;0.14;0.015;4.00E-03;4.00E-02;4.00E-02;9.90E-02;5.66E-02;7.23E-06;7.23E-06;7.24E-05;7.24E-05;1.15E-05;2.98E-06
140x140x16;0.14;0.14;0.016;4.25E-03;4.04E-02;4.04E-02;9.90E-02;5.72E-02;7.64E-06;7.64E-06;7.68E-05;7.68E-05;1.21E-05;3.15E-06
140x140x18;0.14;0.14;0.018;4.74E-03;4.12E-02;4.12E-02;9.90E-02;5.83E-02;8.44E-06;8.44E-06;8.54E-05;8.54E-05;1.34E-05;3.50E-06
150x150x10;0.15;0.15;0.01;2.93E-03;4.03E-02;4.03E-02;1.06E-01;5.71E-02;6.24E-06;6.24E-06;5.69E-05;5.69E-05;9.90E-06;2.58E-06
150x150x11;0.15;0.15;0.011;3.21E-03;4.08E-02;4.08E-02;1.06E-01;5.77E-02;6.81E-06;6.81E-06;6.24E-05;6.24E-05;1.08E-05;2.79E-06
150x150x12;0.15;0.15;0.012;3.48E-03;4.12E-02;4.12E-02;1.06E-01;5.83E-02;7.37E-06;7.37E-06;6.77E-05;6.77E-05;1.17E-05;3.03E-06
150x150x13;0.15;0.15;0.013;3.76E-03;4.17E-02;4.17E-02;1.06E-01;5.89E-02;7.92E-06;7.92E-06;7.31E-05;7.31E-05;1.26E-05;3.25E-06
150x150x14;0.15;0.15;0.014;4.03E-03;4.21E-02;4.21E-02;1.06E-01;5.95E-02;8.45E-06;8.45E-06;7.83E-05;7.83E-05;1.34E-05;3.47E-06
150x150x15;0.15;0.15;0.015;4.30E-03;4.25E-02;4.25E-02;1.06E-01;6.01E-02;8.98E-06;8.98E-06;8.35E-05;8.35E-05;1.43E-05;3.70E-06
150x150x16;0.15;0.15;0.016;4.57E-03;4.29E-02;4.29E-02;1.06E-01;6.06E-02;9.50E-06;9.50E-06;8.87E-05;8.87E-05;1.51E-05;3.91E-06
150x150x17;0.15;0.15;0.017;4.84E-03;4.33E-02;4.33E-02;1.06E-01;6.12E-02;1.00E-05;1.00E-05;9.37E-05;9.37E-05;1.59E-05;4.12E-06
150x150x18;0.15;0.15;0.018;5.10E-03;4.37E-02;4.37E-02;1.06E-01;6.17E-02;1.05E-05;1.05E-05;9.87E-05;9.87E-05;1.67E-05;4.34E-06
150x150x19;0.15;0.15;0.019;5.37E-03;4.40E-02;4.40E-02;1.06E-01;6.23E-02;1.10E-05;1.10E-05;1.04E-04;1.04E-04;1.74E-05;4.55E-06
150x150x20;0.15;0.15;0.02;5.63E-03;4.44E-02;4.44E-02;1.06E-01;6.28E-02;1.15E-05;1.15E-05;1.09E-04;1.09E-04;1.82E-05;4.76E-06
160x160x12;0.16;0.16;0.012;3.73E-03;4.36E-02;4.36E-02;1.13E-01;6.17E-02;9.00E-06;9.00E-06;7.73E-05;7.73E-05;1.43E-05;3.69E-06
160x160x13;0.16;0.16;0.013;4.02E-03;4.41E-02;4.41E-02;1.13E-01;6.23E-02;9.68E-06;9.68E-06;8.35E-05;8.35E-05;1.54E-05;3.97E-06
160x160x14;0.16;0.16;0.014;4.32E-03;4.45E-02;4.45E-02;1.13E-01;6.29E-02;1.03E-05;1.03E-05;8.95E-05;8.95E-05;1.64E-05;4.24E-06
160x160x15;0.16;0.16;0.015;4.61E-03;4.49E-02;4.49E-02;1.13E-01;6.35E-02;1.10E-05;1.10E-05;9.56E-05;9.56E-05;1.75E-05;4.53E-06
160x160x16;0.16;0.16;0.016;4.90E-03;4.53E-02;4.53E-02;1.13E-01;6.41E-02;1.16E-05;1.16E-05;1.01E-04;1.01E-04;1.85E-05;4.78E-06
160x160x17;0.16;0.16;0.017;5.18E-03;4.57E-02;4.57E-02;1.13E-01;6.46E-02;1.23E-05;1.23E-05;1.07E-04;1.07E-04;1.95E-05;5.04E-06
160x160x18;0.16;0.16;0.018;5.47E-03;4.61E-02;4.61E-02;1.13E-01;6.52E-02;1.29E-05;1.29E-05;1.13E-04;1.13E-04;2.04E-05;5.30E-06
160x160x19;0.16;0.16;0.019;5.75E-03;4.65E-02;4.65E-02;1.13E-01;6.58E-02;1.35E-05;1.35E-05;1.19E-04;1.19E-04;2.14E-05;5.57E-06
160x160x20;0.16;0.16;0.02;6.03E-03;4.69E-02;4.69E-02;1.13E-01;6.63E-02;1.41E-05;1.41E-05;1.24E-04;1.24E-04;2.23E-05;5.82E-06
180x180x13;0.18;0.18;0.013;4.55E-03;4.90E-02;4.90E-02;1.27E-01;6.93E-02;1.40E-05;1.40E-05;1.07E-04;1.07E-04;2.22E-05;5.72E-06
180x180x14;0.18;0.18;0.014;4.88E-03;4.94E-02;4.94E-02;1.27E-01;6.99E-02;1.49E-05;1.49E-05;1.14E-04;1.14E-04;2.38E-05;6.11E-06
180x180x15;0.18;0.18;0.015;5.21E-03;4.98E-02;4.98E-02;1.27E-01;7.05E-02;1.59E-05;1.59E-05;1.22E-04;1.22E-04;2.53E-05;6.51E-06
180x180x16;0.18;0.18;0.016;5.54E-03;5.02E-02;5.02E-02;1.27E-01;7.11E-02;1.68E-05;1.68E-05;1.30E-04;1.30E-04;2.69E-05;6.79E-06
180x180x17;0.18;0.18;0.017;5.87E-03;5.06E-02;5.06E-02;1.27E-01;7.16E-02;1.78E-05;1.78E-05;1.37E-04;1.37E-04;2.82E-05;7.28E-06
180x180x18;0.18;0.18;0.018;6.19E-03;5.10E-02;5.10E-02;1.27E-01;7.22E-02;1.87E-05;1.87E-05;1.45E-04;1.45E-04;2.97E-05;7.66E-06
180x180x19;0.18;0.18;0.019;6.51E-03;5.14E-02;5.14E-02;1.27E-01;7.27E-02;1.96E-05;1.96E-05;1.52E-04;1.52E-04;3.11E-05;8.04E-06
180x180x20;0.18;0.18;0.02;6.83E-03;5.18E-02;5.18E-02;1.27E-01;7.33E-02;2.04E-05;2.04E-05;1.59E-04;1.59E-04;3.24E-05;5.41E-06
200x200x13;0.2;0.2;0.013;5.07E-03;5.40E-02;5.40E-02;1.41E-01;7.63E-02;1.94E-05;1.94E-05;1.33E-04;1.33E-04;3.09E-05;7.93E-06
200x200x14;0.2;0.2;0.014;5.44E-03;5.44E-02;5.44E-02;1.41E-01;7.69E-02;2.08E-05;2.08E-05;1.43E-04;1.43E-04;3.30E-05;8.48E-06
200x200x15;0.2;0.2;0.015;5.81E-03;5.48E-02;5.48E-02;1.41E-01;7.75E-02;2.21E-05;2.21E-05;1.52E-04;1.52E-04;3.52E-05;9.03E-06
200x200x16;0.2;0.2;0.016;6.18E-03;5.52E-02;5.52E-02;1.41E-01;7.81E-02;2.43E-05;2.43E-05;1.62E-04;1.62E-04;3.74E-05;9.60E-06
200x200x17;0.2;0.2;0.017;6.55E-03;5.56E-02;5.56E-02;1.41E-01;7.87E-02;2.47E-05;2.47E-05;1.71E-04;1.71E-04;3.93E-05;1.01E-05
200x200x18;0.2;0.2;0.018;6.91E-03;5.60E-02;5.60E-02;1.41E-01;7.92E-02;2.60E-05;2.60E-05;1.81E-04;1.81E-04;4.15E-05;1.05E-05
200x200x19;0.2;0.2;0.019;7.27E-03;5.64E-02;5.64E-02;1.41E-01;7.98E-02;2.73E-05;2.73E-05;1.90E-04;1.90E-04;4.34E-05;1.12E-05
200x200x20;0.2;0.2;0.02;7.63E-03;5.68E-02;5.68E-02;1.41E-01;8.04E-02;2.85E-05;2.85E-05;1.99E-04;1.99E-04;4.53E-05;1.17E-05
200x200x21;0.2;0.2;0.021;7.99E-03;5.72E-02;5.72E-02;1.41E-01;8.09E-02;2.97E-05;2.97E-05;2.08E-04;2.08E-04;4.73E-05;1.22E-05
200x200x22;0.2;0.2;0.022;8.35E-03;5.76E-02;5.76E-02;1.41E-01;8.15E-02;3.09E-05;3.09E-05;2.17E-04;2.17E-04;4.92E-05;1.27E-05
200x200x23;0.2;0.2;0.023;8.71E-03;5.80E-02;5.80E-02;1.41E-01;8.20E-02;3.21E-05;3.21E-05;2.26E-04;2.26E-04;5.10E-05;1.32E-05
200x200x24;0.2;0.2;0.024;9.06E-03;5.84E-02;5.84E-02;1.41E-01;8.26E-02;3.33E-05;3.33E-05;2.35E-04;2.35E-04;5.28E-05;1.38E-05
200x200x25;0.2;0.2;0.025;9.41E-03;5.88E-02;5.88E-02;1.41E-01;8.31E-02;3.45E-05;3.45E-05;2.44E-04;2.44E-04;5.47E-05;1.43E-05
200x200x26;0.2;0.2;0.026;9.76E-03;5.91E-02;5.91E-02;1.41E-01;8.36E-02;3.56E-05;3.56E-05;2.53E-04;2.53E-04;5.64E-05;1.48E-05
200x200x27;0.2;0.2;0.027;1.01E-02;5.95E-02;5.95E-02;1.41E-01;8.42E-02;3.67E-05;3.67E-05;2.61E-04;2.61E-04;5.82E-05;1.53E-05
200x200x28;0.2;0.2;0.028;1.05E-02;5.99E-02;5.99E-02;1.41E-01;8.47E-02;3.78E-05;3.78E-05;2.70E-04;2.70E-04;5.99E-05;1.58E-05
250x250x17;0.25;0.25;0.017;8.21E-03;6.79E-02;6.79E-02;1.77E-01;9.60E-02;4.89E-05;4.89E-05;2.69E-04;2.69E-04;7.79E-05;2.00E-05
250x250x18;0.25;0.25;0.018;8.67E-03;6.83E-02;6.83E-02;1.77E-01;9.66E-02;5.16E-05;5.16E-05;2.84E-04;2.84E-04;8.21E-05;2.10E-05
250x250x19;0.25;0.25;0.019;9.14E-03;6.87E-02;6.87E-02;1.77E-01;9.72E-02;5.42E-05;5.42E-05;2.99E-04;2.99E-04;8.62E-05;2.21E-05
250x250x20;0.25;0.25;0.02;9.60E-03;6.91E-02;6.91E-02;1.77E-01;9.78E-02;5.67E-05;5.67E-05;3.14E-04;3.14E-04;9.03E-05;2.32E-05
250x250x21;0.25;0.25;0.021;1.01E-02;6.96E-02;6.96E-02;1.77E-01;9.84E-02;5.93E-05;5.93E-05;3.29E-04;3.29E-04;9.44E-05;2.42E-05
250x250x22;0.25;0.25;0.022;1.05E-02;7.00E-02;7.00E-02;1.77E-01;9.89E-02;6.18E-05;6.18E-05;3.43E-04;3.43E-04;9.83E-05;2.53E-05
250x250x23;0.25;0.25;0.023;1.10E-02;7.03E-02;7.03E-02;1.77E-01;9.95E-02;6.43E-05;6.43E-05;3.58E-04;3.58E-04;1.02E-04;2.63E-05
250x250x24;0.25;0.25;0.024;1.14E-02;7.07E-02;7.07E-02;1.77E-01;1.00E-01;6.67E-05;6.67E-05;3.72E-04;3.72E-04;1.06E-04;2.74E-05
250x250x25;0.25;0.25;0.025;1.19E-02;7.11E-02;7.11E-02;1.77E-01;1.01E-01;6.92E-05;6.92E-05;3.87E-04;3.87E-04;1.10E-04;2.84E-05
250x250x26;0.25;0.25;0.026;1.23E-02;7.15E-02;7.15E-02;1.77E-01;1.01E-01;7.16E-05;7.16E-05;4.01E-04;4.01E-04;1.14E-04;2.94E-05
250x250x27;0.25;0.25;0.027;1.28E-02;7.19E-02;7.19E-02;1.77E-01;1.02E-01;7.39E-05;7.39E-05;4.15E-04;4.15E-04;1.18E-04;3.04E-05
250x250x28;0.25;0.25;0.028;1.33E-02;7.24E-02;7.24E-02;1.77E-01;1.02E-01;7.70E-05;7.70E-05;4.33E-04;4.33E-04;1.22E-04;3.17E-05
250x250x29;0.25;0.25;0.029;1.37E-02;7.27E-02;7.27E-02;1.77E-01;1.03E-01;7.86E-05;7.86E-05;4.43E-04;4.43E-04;1.25E-04;3.24E-05
250x250x30;0.25;0.25;0.03;1.41E-02;7.30E-02;7.30E-02;1.77E-01;1.03E-01;8.09E-05;8.09E-05;4.57E-04;4.57E-04;1.28E-04;3.34E-05
250x250x31;0.25;0.25;0.031;1.45E-02;7.34E-02;7.34E-02;1.77E-01;1.04E-01;8.31E-05;8.31E-05;4.71E-04;4.71E-04;1.32E-04;3.44E-05
250x250x32;0.25;0.25;0.032;1.50E-02;7.38E-02;7.38E-02;1.77E-01;1.04E-01;8.54E-05;8.54E-05;4.84E-04;4.84E-04;1.35E-04;3.54E-05
250x250x33;0.25;0.25;0.033;1.54E-02;7.42E-02;7.42E-02;1.77E-01;1.05E-01;8.76E-05;8.76E-05;4.98E-04;4.98E-04;1.39E-04;3.64E-05
250x250x34;0.25;0.25;0.034;1.58E-02;7.45E-02;7.45E-02;1.77E-01;1.05E-01;8.98E-05;8.98E-05;5.12E-04;5.12E-04;1.42E-04;3.73E-05
250x250x35;0.25;0.25;0.035;1.63E-02;7.50E-02;7.50E-02;1.77E-01;1.06E-01;9.26E-05;9.26E-05;5.29E-04;5.29E-04;1.47E-04;3.86E-05
300x300x25;0.3;0.3;0.025;1.43E-02;8.35E-02;8.35E-02;2.12E-01;1.18E-01;1.22E-04;1.22E-04;5.61E-04;5.61E-04;1.94E-04;4.93E-05
300x300x26;0.3;0.3;0.026;1.48E-02;8.39E-02;8.39E-02;2.12E-01;1.19E-01;1.26E-04;1.26E-04;5.83E-04;5.83E-04;2.01E-04;5.12E-05
300x300x27;0.3;0.3;0.027;1.54E-02;8.43E-02;8.43E-02;2.12E-01;1.19E-01;1.30E-04;1.30E-04;6.04E-04;6.04E-04;2.08E-04;5.29E-05
300x300x28;0.3;0.3;0.028;1.59E-02;8.47E-02;8.47E-02;2.12E-01;1.20E-01;1.35E-04;1.35E-04;6.25E-04;6.25E-04;2.14E-04;5.48E-05
300x300x29;0.3;0.3;0.029;1.65E-02;8.50E-02;8.50E-02;2.12E-01;1.20E-01;1.39E-04;1.39E-04;6.45E-04;6.45E-04;2.21E-04;5.65E-05
300x300x30;0.3;0.3;0.03;1.70E-02;8.54E-02;8.54E-02;2.12E-01;1.21E-01;1.43E-04;1.43E-04;6.66E-04;6.66E-04;2.28E-04;5.83E-05
300x300x31;0.3;0.3;0.031;1.75E-02;8.58E-02;8.58E-02;2.12E-01;1.21E-01;1.47E-04;1.47E-04;6.86E-04;6.86E-04;2.34E-04;6.00E-05
300x300x32;0.3;0.3;0.032;1.81E-02;8.62E-02;8.62E-02;2.12E-01;1.22E-01;1.51E-04;1.51E-04;7.07E-04;7.07E-04;2.41E-04;6.18E-05
300x300x33;0.3;0.3;0.033;1.86E-02;8.66E-02;8.66E-02;2.12E-01;1.22E-01;1.55E-04;1.55E-04;7.27E-04;7.27E-04;2.47E-04;6.35E-05
300x300x34;0.3;0.3;0.034;1.91E-02;8.70E-02;8.70E-02;2.12E-01;1.23E-01;1.59E-04;1.59E-04;7.48E-04;7.48E-04;2.53E-04;6.53E-05
